"V2","variable","value"
"805",805,"V639",2
"806",806,"V639",1
"807",807,"V639",1
"808",808,"V639",1
"809",809,"V639",2
"810",810,"V639",2
"811",811,"V639",2
"812",812,"V639",1
"813",813,"V639",1
"814",814,"V639",2
"815",815,"V639",1
"816",816,"V639",1
"817",817,"V639",2
"818",818,"V639",2
"819",819,"V639",2
"820",820,"V639",1
"821",821,"V639",1
"822",822,"V639",2
"823",823,"V639",2
"824",824,"V639",2
"825",825,"V639",1
"826",826,"V639",1
"827",827,"V639",1
"828",828,"V639",1
"829",829,"V639",1
"830",830,"V639",2
"831",831,"V639",2
"832",832,"V639",2
"833",833,"V639",2
"834",834,"V639",1
"835",835,"V639",1
"836",836,"V639",1
"837",837,"V639",1
"838",838,"V639",1
"839",839,"V639",1
"840",840,"V639",2
"841",841,"V639",1
"842",842,"V639",2
"843",843,"V639",2
"844",844,"V639",2
"845",845,"V639",1
"846",846,"V639",2
"847",847,"V639",1
"848",848,"V639",2
"849",849,"V639",2
"850",850,"V639",2
"851",851,"V639",2
"852",852,"V639",2
"853",853,"V639",1
"854",854,"V639",2
"855",855,"V639",1
"856",856,"V639",1
"857",857,"V639",1
"858",858,"V639",2
"859",859,"V639",2
"860",860,"V639",1
"861",861,"V639",1
"862",862,"V639",1
"863",863,"V639",1
"864",864,"V639",2
"865",865,"V639",2
"866",866,"V639",2
"867",867,"V639",1
"868",868,"V639",1
"869",869,"V639",1
"870",870,"V639",1
"871",871,"V639",2
"872",872,"V639",1
"873",873,"V639",2
"874",874,"V639",1
"875",875,"V639",1
"876",876,"V639",2
"877",877,"V639",2
"878",878,"V639",1
"879",879,"V639",2
"880",880,"V639",2
"881",881,"V639",1
"882",882,"V639",1
"883",883,"V639",1
"884",884,"V639",2
"885",885,"V639",2
"886",886,"V639",2
"887",887,"V639",1
"888",888,"V639",1
"889",889,"V639",1
"890",890,"V639",1
"891",891,"V639",2
"892",892,"V639",1
"893",893,"V639",2
"894",894,"V639",1
"895",895,"V639",2
"896",896,"V639",2
"897",897,"V639",1
"898",898,"V639",1
"899",899,"V639",1
"900",900,"V639",1
"901",901,"V639",1
"902",902,"V639",2
"903",903,"V639",1
"904",904,"V639",1
"905",905,"V639",1
"906",906,"V639",1
"907",907,"V639",1
"908",908,"V639",1
"909",909,"V639",2
"910",910,"V639",1
"911",911,"V639",1
"912",912,"V639",1
"913",913,"V639",1
"914",914,"V639",1
"915",915,"V639",2
"916",916,"V639",1
"917",917,"V639",1
"918",918,"V639",2
"919",919,"V639",1
"920",920,"V639",2
"921",921,"V639",1
"922",922,"V639",2
"923",923,"V639",1
"924",924,"V639",1
"925",925,"V639",2
"926",926,"V639",1
"927",927,"V639",1
"928",928,"V639",1
"929",929,"V639",1
"930",930,"V639",1
"931",931,"V639",2
"932",932,"V639",1
"933",933,"V639",2
"934",934,"V639",1
"935",935,"V639",1
"936",936,"V639",1
"937",937,"V639",1
"938",938,"V639",2
"939",939,"V639",2
"940",940,"V639",2
"941",941,"V639",2
"942",942,"V639",1
"943",943,"V639",2
"944",944,"V639",1
"945",945,"V639",1
"946",946,"V639",1
"947",947,"V639",1
"948",948,"V639",1
"949",949,"V639",1
"950",950,"V639",2
"951",951,"V639",2
"952",952,"V639",2
"953",953,"V639",2
"954",954,"V639",1
"955",955,"V639",2
"956",956,"V639",1
"957",957,"V639",2
"958",958,"V639",1
"959",959,"V639",2
"960",960,"V639",2
"961",961,"V639",1
"962",962,"V639",1
"963",963,"V639",2
"964",964,"V639",2
"965",965,"V639",1
"966",966,"V639",1
"967",967,"V639",1
"968",968,"V639",1
"969",969,"V639",2
"970",970,"V639",1
"971",971,"V639",2
"972",972,"V639",1
"973",973,"V639",2
"974",974,"V639",1
"975",975,"V639",1
"976",976,"V639",1
"977",977,"V639",1
"978",978,"V639",1
"979",979,"V639",2
"980",980,"V639",1
"981",981,"V639",1
"982",982,"V639",2
"983",983,"V639",2
"984",984,"V639",1
"985",985,"V639",1
"986",986,"V639",2
"987",987,"V639",2
"988",988,"V639",2
"989",989,"V639",2
"990",990,"V639",2
"991",991,"V639",1
"992",992,"V639",1
"993",993,"V639",2
"994",994,"V639",1
"995",995,"V639",2
"996",996,"V639",1
"997",997,"V639",1
"998",998,"V639",2
"999",999,"V639",1
"1000",1000,"V639",1
"1001",1001,"V639",2
"1002",1002,"V639",1
"1003",1003,"V639",1
"1004",1004,"V639",1
"1005",1005,"V639",2
"1006",1006,"V639",2
"1007",1007,"V639",1
"1008",1008,"V639",1
"1009",1009,"V639",1
"1010",1010,"V639",1
"1011",1011,"V639",2
"1012",1012,"V639",0
"1013",1013,"V639",2
"1014",1014,"V639",1
"1015",1015,"V639",1
"1016",1016,"V639",2
"1017",1017,"V639",2
"1018",1018,"V639",2
"1019",1019,"V639",2
"1020",1020,"V639",1
"1021",1021,"V639",1
"1022",1022,"V639",2
"1023",1023,"V639",2
"1024",1024,"V639",1
"1025",1025,"V639",1
"1026",1026,"V639",1
"1027",1027,"V639",1
"1028",1028,"V639",1
"1029",1029,"V639",1
"1030",1030,"V639",1
"1031",1031,"V639",1
"1032",1032,"V639",2
"1033",1033,"V639",1
"1034",1034,"V639",1
"1035",1035,"V639",2
"1036",1036,"V639",2
"1037",1037,"V639",1
"1038",1038,"V639",2
"1039",1039,"V639",1
"1040",1040,"V639",1
"1041",1041,"V639",1
"1042",1042,"V639",2
"1043",1043,"V639",2
"1044",1044,"V639",2
"1045",1045,"V639",1
"1046",1046,"V639",2
"1047",1047,"V639",1
"1048",1048,"V639",1
"1049",1049,"V639",2
"1050",1050,"V639",2
"1051",1051,"V639",1
"1052",1052,"V639",1
"1053",1053,"V639",2
"1054",1054,"V639",1
"1055",1055,"V639",1
"1056",1056,"V639",1
"1057",1057,"V639",1
"1058",1058,"V639",1
"1059",1059,"V639",2
"1060",1060,"V639",1
"1061",1061,"V639",2
"1062",1062,"V639",1
"1063",1063,"V639",2
"1064",1064,"V639",2
"1065",1065,"V639",1
"1066",1066,"V639",1
"1067",1067,"V639",1
"1068",1068,"V639",2
"1069",1069,"V639",2
"1070",1070,"V639",1
"1071",1071,"V639",2
"1072",1072,"V639",2
"1073",1073,"V639",1
"1074",1074,"V639",2
"1075",1075,"V639",2
"1076",1076,"V639",1
"1077",1077,"V639",1
"1078",1078,"V639",1
"1079",1079,"V639",2
"1080",1080,"V639",1
"1081",1081,"V639",2
"1082",1082,"V639",2
"1083",1083,"V639",1
"1084",1084,"V639",2
"1085",1085,"V639",1
"1086",1086,"V639",1
"1087",1087,"V639",1
"1088",1088,"V639",2
"1089",1089,"V639",1
"1090",1090,"V639",2
"1091",1091,"V639",1
"1092",1092,"V639",2
"1093",1093,"V639",2
"1094",1094,"V639",1
"1095",1095,"V639",2
"1096",1096,"V639",1
"1097",1097,"V639",1
"1098",1098,"V639",2
"1099",1099,"V639",1
"1100",1100,"V639",1
"1101",1101,"V639",1
"1102",1102,"V639",1
"1103",1103,"V639",1
"1104",1104,"V639",2
"1105",1105,"V639",1
"1106",1106,"V639",1
"1107",1107,"V639",2
"1108",1108,"V639",2
"1109",1109,"V639",1
"1110",1110,"V639",2
"1111",1111,"V639",2
"1112",1112,"V639",2
"1113",1113,"V639",2
"1114",1114,"V639",2
"1115",1115,"V639",1
"1116",1116,"V639",2
"1117",1117,"V639",2
"1118",1118,"V639",1
"1119",1119,"V639",2
"1120",1120,"V639",1
"1121",1121,"V639",1
"1122",1122,"V639",2
"1123",1123,"V639",1
"1124",1124,"V639",1
"1125",1125,"V639",1
"1126",1126,"V639",2
"1127",1127,"V639",2
"1128",1128,"V639",2
"1129",1129,"V639",2
"1130",1130,"V639",2
"1131",1131,"V639",2
"1132",1132,"V639",1
"1133",1133,"V639",2
"1134",1134,"V639",2
"1135",1135,"V639",1
"1136",1136,"V639",1
